Adidas;Allianz;BASF;Bayer;Beiersdorf;BMW St;Continental;Covestro;Daimler;Deutsche Bank;Deutsche Börse;Deutsche Post;Deutsche Telekom;E.ON;Fresenius;Fresenius Medical Care;HeidelbergCement;Henkel Vz;Infineon;Linde PLC;Lufthansa;Merck KGaA;Münchener Rück;RWE St;SAP;Siemens;ThyssenKrupp;Volkswagen Vz;Vonovia;Wirecard
0.049;0.0802;0.0491;0.0365;0.0242;0.0365;0.0218;0.0067;0.0067;0.0112;0.0211;0.0301;0.0652;0.0194;0.0229;0.0185;0.0121;0.0138;0.0138;0.0893;0.0066;0.0105;0.0307;0.0116;0.1255;0.0783;0.0065;0.0259;0.021;0.0167
262.9;208.0;59.94;52.44;107.65;62.22;121.96;41.01;47.32;6.09;124.55;27.27;15.36;9.86;46.42;67.3;68.76;86.7;13.67;179.35;15.50;91.00;222.2;22.67;114.6;103.2;11.8;140.84;46.16;152.5
